PLAYER,TEAM,AGE,HEIGHT,WEIGHT,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Jimmy Butler,MIA,30,6'7,230,SF,5.40%,9,9,6' 6'',6' 7.75'',8' 5.5'',222.2,6' 7.5''
Joe Harris,BKN,28,6'6,220,SG,6.20%,8.5,9.75,6' 4.75'',6' 6.25'',8' 4'',215,6' 6''
Joe Ingles,UTA,32,6'7,220,SF,10.10%,-,-,6' 7.75'',6' 8.25'',8' 9'',209.2,6' 10.25''
John Collins,ATL,22,6'9,235,PF,5.40%,9,10,6' 8.25'',6' 9.5'',8' 10.5'',225.2,6' 11.25''
John Henson,DET,29,6'9,219,PF,8.60%,9.25,10,6' 9'',6' 10.5'',9' 4'',216,7' 5''
Johnathan Motley,LAC,25,6'8,230,PF,-%,9,9.5,6' 7.75'',6' 8.75'',9' 0'',238.2,7' 4''
Jordan Bell,CLE,25,6'8,216,PF,5.40%,9.25,9.5,6' 7'',6' 8.5'',8' 8.5'',223.6,6' 11.75''
Jordan Bone,DET,22,6'3,180,SG,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25''
Jordan Clarkson,UTA,28,6'4,194,PG,4.30%,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Jordan McRae,DET,29,6'5,179,SG,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Jordan Poole,GSW,21,6'4,194,SG,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Josh Hart,NOP,25,6'5,215,SG-SF,5.80%,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
Josh Okogie,MIN,21,6'4,213,SG,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Jrue Holiday,NOP,30,6'3,205,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7''
Julius Randle,NYK,25,6'8,250,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
